Employee ID,Time in Job Profile
1005466,14.03
1008600,13.95
1010298,3.04
1014703,5.42
1016338,4.95
1017907,4.3
1023912,5.42
1028769,0.27
1043481,4.95
1052648,3.33
1055467,5.69
1066760,3.33
1067984,4.95
1073793,3.83
1075611,2.16
1079059,8.51
1086989,3.9
1087060,5
1088965,4.95
1088993,4.18
1090998,0.09
1092301,4.08
1098313,12.15
1103654,4.16
1106179,6.84
1112619,4.95
1113431,2.79
1116624,4.95
1119456,4.95
1119960,3.46
1122068,5.17
1122262,4.95
1126733,4.95
1131305,3.95
1134706,4.67
1135303,7.89
1138345,5.42
1143712,4.95
1150738,2.58
1161118,2.46
1162387,2.56
1175097,3.52
1185133,0
1189927,3.75
1190388,3.33
1190547,5.08
1190552,4.59
1190641,5.08
1191285,4.59
1191397,6
1191811,5.08
1191898,17.88
1192153,5.08
1192164,3.33
1192321,3.67
1192725,5.59
1193194,5.08
1193582,4.59
1193790,1.6
1194431,2.09
1195169,1.47
1195312,14.2
1195336,5.08
1195724,4.59
1195895,7.84
1195939,3.33
1195996,3.33
1196073,4.59
1196257,6.08
1196477,3.33
1196481,7.08
1197640,3.33
1197839,5.08
1198356,4.52
1198487,5.08
1198488,4.5
1198745,6.29
1198848,0.33
1199369,2.83
1200004,4.59
1200197,3.08
1200793,5.84
1200978,13.01
1201327,5.59
1201357,8.69
1201461,5.08
1201629,10.23
1202240,3.18
1202307,2.62
1202371,12.34
1202433,5.08
1202752,5.08
1202795,2.83
1203115,7.84
1203269,2.94
1203453,3.5
1203603,3.33
1204169,6.29
1205043,1.77
1205790,6.29
1206411,4.33
1206431,6.84
1207032,2.92
1207112,4.92
1207454,3.33
1207567,5.59
1207609,5.59
1208161,2.33
1208301,5.61
1208700,5.59
1208702,5.08
1208705,2.09
1208707,9.92
1209019,1.44
1209695,5.24
1210016,6.84
1210026,3.29
1210154,4.84
1210337,5.14
1210642,0.09
1210881,0.3
1211038,4.59
1211759,4.84
1211852,6.29
1212441,5.08
1212657,3.33
1212924,5.38
1213561,3.08
1213664,5.32
1213772,5.01
1213864,4.78
1214008,3.33
1214643,3.54
1214881,4.31
1215491,3.33
1215536,0.44
1215648,3.67
1216160,3.67
1216163,2.71
1216432,5.08
1217656,5.36
1217716,3.96
1218850,4.42
1219141,5.17
1219235,5.08
1219961,3.94
1220048,4.09
1221278,2.54
1221618,2.67
1222026,3.33
1222089,2.5
1222519,3.89
1223507,5.32
1223892,2.77
1223911,3.33
1224675,4.59
1224715,3.33
1224929,5.59
1225008,6.32
1226722,4
1227122,4.33
1227913,5.16
1228156,0.09
1228237,3.33
1228806,5.34
1228807,5.34
1229678,5.21
1229858,4.77
1229861,7.52
1230585,0
1230954,0.86
1231457,5.08
1231758,4.33
1232177,4.59
1232244,6.07
1232575,3.6
1233310,5.32
1234045,5.08
1234330,1.69
1236614,2.6
1238846,4.69
1239735,4.69
1250351,3.4
1260105,3.21
1260111,3.21
1266927,3.07
1269444,3.02
1272974,2.95
1273393,2.95
1275604,2.9
1276388,1.66
1279826,2.83
1282306,0.03
1286191,1.91
1287824,2.68
1292930,2.08
1296136,2.33
1298228,1.79
1301078,1.85
1301898,0.32
1301908,2.06
1301918,1.99
1301926,2.25
1304457,2.07
1306466,1.85
1308423,1.77
1310828,2.48
1311767,1.91
1312718,2.47
1315939,0.58
1318365,2.37
1319121,1.68
1329947,2.2
1332967,2.14
1352040,0.33
1352856,1.08
1359874,1.7
1360091,1.72
1360936,1.79
1361469,1.7
1367498,1.66
1371278,1.5
1373499,0.8
1375659,1.52
1375988,1.51
1376977,1.45
1379622,0.2
1381092,1.4
1381116,1.33
1381676,1.31
1383604,0.92
1385825,0.83
1386864,1.2
1388553,1.2
1389504,0.79
1391868,1.16
1391963,0.71
1392574,1.14
1394268,1.15
1398820,0.31
1401612,0.91
1401945,0.91
1402009,0.91
1402011,0.91
1402928,0.91
1403230,0.95
1403604,0.39
1404354,0.85
1407047,0.83
1407748,0.78
1407921,0.8
1409933,0.67
1410794,0.78
1412035,0.2
1412082,0.2
1413153,0.66
1418270,0.65
1418694,0.6
1430814,0.33
1433252,0.03
1438050,0.21
1438535,0.2
1438558,0.2
1440591,0.1
1442028,0.07
1442092,0.05
1442459,0.07
